Id,BinCenters,BinCount_GFP_MEFL,BinCount_RFP_MEFL
,5.623,0,34
,7.079,0,46
,8.913,0,49
,11.22,0,87
,14.13,0,99
,17.78,26,128
,22.39,67,173
,28.18,89,200
,35.48,109,222
,44.67,150,349
,56.23,192,442
,70.79,215,520
,89.13,288,712
,112.2,365,832
,141.3,472,1133
,177.8,597,1338
,223.9,764,1808
,281.8,1085,2306
,354.8,1355,3036
,446.7,1888,3793
,562.3,2478,4767
,707.9,3275,5774
,891.3,4155,6928
,1122,5255,7517
,1413,6260,7375
,1778,6919,5678
,2239,7079,3692
,2818,6370,1827
,3548,5217,758
,4467,3773,288
,5623,2106,102
,7079,1079,38
,8913,498,27
,11220,172,15
,14130,69,8
,17780,28,1
,22390,4,1
,28180,5,0
,35480,4,1
,44670,0,0
,56230,1,0
,70790,1,0
,89130,0,0
,112200,1,0
,141300,0,0
,177800,1,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
Ara    0 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,19
,7.079,0,40
,8.913,0,47
,11.22,0,101
,14.13,0,88
,17.78,24,124
,22.39,68,140
,28.18,86,192
,35.48,97,244
,44.67,127,270
,56.23,153,352
,70.79,224,445
,89.13,263,580
,112.2,336,731
,141.3,439,974
,177.8,627,1213
,223.9,720,1605
,281.8,1054,1934
,354.8,1340,2565
,446.7,1784,3302
,562.3,2360,4140
,707.9,3198,5188
,891.3,4111,6239
,1122,5132,6793
,1413,6040,6917
,1778,6552,5957
,2239,6517,4010
,2818,5928,2120
,3548,4687,850
,4467,3248,301
,5623,1839,131
,7079,855,46
,8913,349,20
,11220,112,9
,14130,35,4
,17780,11,1
,22390,3,3
,28180,1,2
,35480,1,2
,44670,2,0
,56230,0,0
,70790,0,0
,89130,0,0
,112200,0,0
,141300,0,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,18
,7.079,0,34
,8.913,0,32
,11.22,0,61
,14.13,0,81
,17.78,26,112
,22.39,70,142
,28.18,103,159
,35.48,107,191
,44.67,150,237
,56.23,201,325
,70.79,268,426
,89.13,343,507
,112.2,456,641
,141.3,626,825
,177.8,694,1039
,223.9,920,1439
,281.8,1181,1855
,354.8,1524,2331
,446.7,2152,2992
,562.3,2807,3885
,707.9,3736,4767
,891.3,4694,6243
,1122,5830,7213
,1413,6612,7768
,1778,7252,7284
,2239,6902,5590
,2818,5843,3403
,3548,4186,1597
,4467,2679,554
,5623,1421,159
,7079,658,51
,8913,249,18
,11220,77,14
,14130,18,7
,17780,6,0
,22390,3,0
,28180,2,0
,35480,0,1
,44670,0,0
,56230,1,0
,70790,1,0
,89130,0,0
,112200,0,0
,141300,0,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,1,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,28
,7.079,0,49
,8.913,0,53
,11.22,0,80
,14.13,0,84
,17.78,21,131
,22.39,70,131
,28.18,90,147
,35.48,103,236
,44.67,125,277
,56.23,178,301
,70.79,238,384
,89.13,294,550
,112.2,330,703
,141.3,497,884
,177.8,640,1092
,223.9,830,1301
,281.8,1053,1770
,354.8,1545,2210
,446.7,1883,2731
,562.3,2466,3480
,707.9,3411,4266
,891.3,4312,5217
,1122,5429,6135
,1413,6320,6705
,1778,6860,6735
,2239,6745,5579
,2818,5892,3618
,3548,4541,1869
,4467,2920,724
,5623,1525,202
,7079,697,63
,8913,253,19
,11220,56,8
,14130,17,1
,17780,6,7
,22390,1,0
,28180,2,0
,35480,3,1
,44670,1,0
,56230,1,0
,70790,0,0
,89130,0,0
,112200,0,0
,141300,1,0
,177800,0,0
,223900,0,0
,281800,0,0
,354800,0,0
,446700,0,0
,562300,0,0
,707900,0,0
,891300,0,0
